word      title    1    2    3    4    5    6    7    8    9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28
------  -------  ---  ---  ---  ---  ---  ---  ---  ---  ---  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----
shall        18   40   17   18   36    0   18    0   18   18    18    54    36    17     0    36    17    36    18    40    36     0    19    18    18    18    18    18    47
say           0   30    0   30    0    0   30    0   30   30    30    30    30    30     0    30    30    30    30    30    30     0    30    60    30    33     0    30    30
would        18   18   33   17   38   17   18   33   18   36    27    23    18    33    27    18    17    54    12    22    27    17    36    14    25    29    25    36    40
love         45   22   90   27   45   31   45   22   22   45    45    22    22    25    29    22    18    43    27    24    22    36    43    31    45    31    27    33    22
heart        54   51   17   36   36    0   54   17   18   36    36    18    54    17    18    36    17    18    36    18    18    17    18    40    38    54    18    54    54
give         22   22   45   45   27   68   43    0    0   22    22    22    45     0    22    22    26    45    22    45    22    45    22    22    22    22    45    22    22
us            0   30    0    0    0    0    0    0   30   90    45    30    30    45     0    30     0    30     0    45     0     0     0     0    45    45     0     0     0
speak        40   36   17   18   20    0   36   17   18   45    20    36    36    17    18    36    33    36    36    36    36    17    18    36    54    36    18    36    36
upon         45   45   43   43   43   43   43   36   43   43    43    45    45    43    43    45    45    43    27    64    29    36    43    31    27    43    45    43     0
yet          60   57   36   36   30    0   60    0   30   30    30    30    60     0    30    30     0    30    30    30    30    30    30    60    30    33    30    60    30
even         27   25   51   43   45   45   22   18   22   22    22    22    45    21    45    22    22    45    27    45    22    26    45    22    27    22    27    22    43
come         45   68   45   40   27   25   45   22   22   45    45    22    45    25    51    22    18    43    27    24    14    55    22    31    27    31    27    33    22
day           0    0    0   30   30    0   30    0   30    0     0    30    30    30    30    30    30    30    30    30    30     0    60    60    30    33     0    60    30
may           0   30    0   60    0    0   30    0   30    0     0    30    30    30    30    30    30     0    30     0    30    36    30    60    30    33     0    30    30
like         22   22   45   45   45   22   45   26    0   22    29    45    45    22    22    22    26    45    22    45    45    45    22    22    45    22    45    22    22
wind          0   45   25   25   45   45   45   22   45   25    25    45    45    25    29    45    51    45    45    68    45    22    45    15    13    25    51    45    22
seek         27   25   26   26   22    0   22   22   22   51    22    45    45    22    45    22     0    45    22    22    22    26    22    22    45    22    22    22    43
one          30   30   60   68   68   68   60   60   60   60    60    60    60    68    68    60    60    60    60    68    60    60    60    60    60    68    60    68    30
let          60   57   40   36   30    0   60    0    0   30    60    30    60    30    30    30     0    60    30    30    30    30    30    30    60    33    30    60    57
know         22   22   36   22   43   22   45   45   45   31    29    22    22    36    29    22    22    90    22    22    45    22    22    22    22    22    27    22    22
life         22   23   45   45   45   22   22    0    0   22    29    45    45    22    45    22    26    45    22    45    45    45    22    22    45    22    45    22    45
soul         22   22   36   25   27   25   25   22   45   45    43    45    22    45    26    45    18    45    13    25    29    18    22    15    45    31    27    25    22
though       47   45   15   24   24   27   30   15   15   45    43    30    30    15    15    15    15    17    35    28    25    15    18    13    24    28    24    41    30
earth        51   51   17   36   18    0   54   17   18   18    36    18    36    17    18    36    17    18    54    36    18    17    18    36    54    54    18    80    54
hand         22   22   25   25   45   22   68   18   68   25    26    68    68    25    29    68    51    22    45    45    29    18    68    22    22    25    26    43    25
unto         27   22   45   22   43   43   43   45   45   45    29    45    51    22    29    43    22    45    45    22    45    45    45    22    22    45    27    43    21
spirit       35   43    0   30   30   30   30   15   30   15    15    30    30    15    15    30    31    15    15    30    15    15    15    30    32    15    30    14    15
dream        25   36   17   36   60    0   36   17   36   20    20    36    36    17    40    54    17    36    36    36    18    17    36    36    36    36    36    54    36
answer       24   15   31   30   24   15   45   46   45   40    25    60    45    31    30    30    31    45    30    30    30    31    45    45    45    30    30    29    45
see          30   30   30   30   30    0   30    0   30   60    30    60    30    30    60    30     0    60    30    30     0    30    30    30    30    30    30    30    30
