word       title         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28
------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
say     0.125     0.170279  0.357576  0.340909  0.162338  0.215909  0.149495  0.224242  0.416162  0.153409  0.153409  0.222371  0.227926  0.224242  0.398601  0.34632   0.215909  0.208556  0.20202   0.376623  0.224242  0.224242  0.272371  0.215909  0.376623  0.305195  0.26738   0.224242  0.285714
love    0.133333  0.180556  0.6       0.366667  0.176923  0.233333  0.161905  0.242857  0.590476  0.166667  0.166667  0.238889  0.245238  0.242857  0.433333  0.425641  0.233333  0.225     0.217647  0.407692  0.242857  0.242857  0.292857  0.233333  0.484615  0.330769  0.2875    0.242857  0.307692
give    0.133333  0.180556  0.314286  0.3       0.176923  0.233333  0.161905  0.242857  0.352381  0.166667  0.166667  0.238889  0.245238  0.242857  0.35      0.323077  0.233333  0.225     0.217647  0.330769  0.242857  0.242857  0.292857  0.233333  0.330769  0.330769  0.2875    0.242857  0.307692
us      0.3       0.195489  0.135747  0.132479  0.24359   0.132479  0.208145  0.135747  0.129713  0.24359   0.24359   0.123407  0.125585  0.135747  0.14359   0.134615  0.132479  0.129555  0.126923  0.139423  0.135747  0.135747  0.125585  0.132479  0.139423  0.139423  0.135747  0.135747  0.125
heart   0.117647  0.216667  0.208333  0.20098   0.15      0.259804  0.138889  0.270833  0.222222  0.142157  0.142157  0.284314  0.291667  0.208333  0.22619   0.277778  0.318627  0.305556  0.241228  0.216667  0.208333  0.270833  0.25      0.259804  0.216667  0.216667  0.395833  0.270833  0.266667
speak   0.133333  0.12549   0.21978   0.214286  0.21978   0.214286  0.197802  0.21978   0.197802  0.214286  0.214286  0.187302  0.190965  0.21978   0.233766  0.206349  0.214286  0.209524  0.205357  0.22619   0.21978   0.21978   0.190965  0.214286  0.22619   0.22619   0.214286  0.21978   0.166667
yet     0.166667  0.154762  0.35      0.340909  0.35      0.340909  0.3       0.35      0.3       0.340909  0.340909  0.282828  0.288889  0.35      0.375     0.314815  0.340909  0.333333  0.326923  0.361111  0.35      0.35      0.288889  0.340909  0.361111  0.361111  0.340909  0.35      0.222222
even    0.133333  0.180556  0.242857  0.233333  0.176923  0.233333  0.161905  0.242857  0.257143  0.166667  0.166667  0.238889  0.245238  0.242857  0.266667  0.271795  0.233333  0.225     0.217647  0.253846  0.242857  0.242857  0.245238  0.233333  0.253846  0.253846  0.242857  0.242857  0.307692
come    0.266667  0.228758  0.233333  0.225     0.253846  0.225     0.257143  0.233333  0.244444  0.233333  0.233333  0.228431  0.233987  0.233333  0.253846  0.257143  0.225     0.217647  0.211111  0.242857  0.233333  0.233333  0.233987  0.225     0.242857  0.242857  0.233333  0.233333  0.285714
