word        title    1    2    3    4    5    6    7    8    9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40    41    42    43    44    45    46    47    48    49    50    51    52    53    54    55    56    57    58    59    60    61    62    63    64
--------  -------  ---  ---  ---  ---  ---  ---  ---  ---  ---  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----  ----
go             45    0   45    0   30   30    0   45   45   45     0    45    45    90    60     0    30    45    45     0    90     0    45    45    45     0     0    60    45     0    45    45    45    60    45    30     0    30     0    45    30    30     0     0    45    30     0    45    30     0     0    45    45    45     0    45     0    45    30    30    45    45    45    45    45
see            30   30    0   60    0   30    0   30   30   30    30    30     0     0    60    30    30    30    30    44     0    30    30    30     0    30    30    30    30    30    30    30    30    30    60    30    30    30    30    30    60    30    90    30     0    30    30     0    30    30    30     0    33    30    31    30    30    30    30    30    30    30    30    30    30
littl          22   18   29   36   36   36   22   36   36   36    36    17    36    18    18    36    18    20     0    18     0    18    18    17    22    20    40    18    36    30    54    20    17    20    24    36    19    34    38    40    36    19    34    18    18    36    18    40    18    18    90    38    19    25     0    36    18    17    36    54    24    34    34    36    17
children       76   22   12   41   21   90   45   34   34   34    29    27    22    11    34    22    34    35    24    14    11    24    45    38    12    38    22    90    90    34    32    11    38    35    30    30    32    34    32    30    22    22    34    34    22    34    22    22    34    48    43    22    23    32    22    34    34    40    34    34    22    24    24    69    22
day            30   30   17   30   28   30   29   30   30   68    30     0    30    60    30    11    30    30    30    22    31    30    30     0    30    30    30    60    30    30    30    30     0     0     0    30    30    60     0    60    30    30    60    30    30     0    30    30    30    10    30    90     0     0     0    30    13    30    30    36    30    30     0    30    60
come           24   45   22   22   22   45    0   22   45    0    22     0    22    22    22    22    45    22    26    22    22    45    24    51    22    17    22    22    45    22    22    22    22    21    43    22    22    45    45    22    22    22    45    21    51    22    25    22    22    22    22     0    22    45    45    22    25    22    22    22    45    31    46    45    24
garden         90   21   15   45   30   45   45   30   45   30    33    31    54    30    30    19    30    43    32    17    34    32    45    15    15    29    30    45    45    30    31    15    29    31    32    43    35    32    30    15    45    30    30    30    30    30    45     0    30    45    30    45    28    28    30    30    33    90    30    45    15    30    15    30    45
like           24   24    0   45   22   45   25   25   22   22    22    22    45    26    22    45    22    22     0    22     0    45    22    21     0    22    45    45    45    22    45    22    21    22    45    45    27    45    45    22    22    22    22    22    22    45    22    45    22    45    45    22    22    45    22    68    45    22    22    74    22    51    45    22    22
sea            30   30   17   90    0   30   29   30   30   30    30    30    30    30    30    30    30    34    60    44    15    60    30    34    12    30    60    30    30    30    30    60    34    34    72    30    60    30    30    34    30    57    60    30     0    30    30     0    30    30    30    30    33    34    31    30    30    30    30    30    30    30    36    30    60
