word         title         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22         23        24        25        26        27        28        29        30        31        32        33        34        35        36        37    38        39        40        41        42        43        44        45        46        47        48        49        50        51        52         53        54        55        56        57        58    59        60        61    62    63        64
--------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  ---------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  ----  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  ---------  --------  --------  --------  --------  --------  ----  --------  --------  ----  ----  --------
go        0.122222  0.368421  0.309804  0.285714  0.117647  0.206209  0.105263  0.195489  0.208333  0.416667  0.222222  0.222222  0.169935  0.284314  0.55      0.121324  0.180556  0.258333  0.222222  0.125     0.245425  0.248747  0.225     0.0740741  0.216667  0.111111  0.132479  0.223016  0.15      0.169935  0.133333  0.181218  0.117647  0.266667  0.242647  0.133333  0.180147  0.22291      0  0.111111  0.192157  0.194444  0.1875    0.192857  0.235294  0.5       0.235294  0.122222  0.25      0.29232   0.325     0.547619  0.129167  0.1        0.371324  0.138889  0.445833  0.125     0.216667     0  0.105263  0.125        0     0  0.145833
see       0.454248  0.188596  0.12549   0.266667  0.352941  0.198529  0.210526  0.214286  0.145833  0.15      0.111111  0.111111  0.21345   0.122549  0.205556  0.343137  0.229167  0.129167  0.111111  0.375     0.198529  0.165643  0.1125    0.222222   0.15      0.222222  0.397436  0.206933  0.259804  0.232026  0.352941  0.225026  0.352941  0.133333  0.121324  0.266667  0.183824  0.179567     0  0.333333  0.301961  0.138889  0.229167  0.283333  0.117647  0.125     0.117647  0.477778  0.125     0.125327  0.129167  0.138095  0.325     0.3        0.238971  0.233333  0.129167  0.333333  0.15         0  0.285714  0.333333     0     0  0.25
little    0.15      0.349359  0.380952  0.363636  0.142857  0.253358  0.125     0.244318  0.264957  0.361111  0.266667  0.266667  0.204762  0.347985  0.258824  0.148352  0.220513  0.320513  0.266667  0.153846  0.300977  0.30711   0.271493  0.0833333  0.277778  0.133333  0.166667  0.279332  0.194444  0.204762  0.166667  0.22336   0.142857  0.333333  0.296703  0.166667  0.21978   0.267857     0  0.133333  0.238095  0.244444  0.230769  0.240642  0.285714  0.461538  0.285714  0.15      0.307692  0.360195  0.653846  0.522727  0.160256  0.117647   0.302198  0.177778  0.397436  0.153846  0.277778     0  0.125     0.153846     0     0  0.188034
children  0.676471  0.242915  0.154762  0.333333  0.705882  0.432234  0.25      0.363636  0.176923  0.183333  0.133333  0.133333  0.366667  0.150183  0.266667  0.551084  0.299145  0.160256  0.133333  0.5       0.321123  0.20406   0.135747  0.444444   0.183333  0.266667  0.472222  0.445221  0.6       0.301961  0.666667  0.290977  0.470588  0.166667  0.148352  0.333333  0.225275  0.229637     0  0.444444  0.270833  0.166667  0.392713  0.366667  0.142857  0.153846  0.142857  0.443137  0.153846  0.154457  0.160256  0.174242  0.420513  0.6        0.312217  0.385714  0.160256  0.631579  0.183333     0  0.545455  0.631579     0     0  0.415789
come      0.278846  0.256209  0.267857  0.533333  0.266667  0.274786  0.235294  0.271493  0.3       0.242857  0.235294  0.235294  0.25098   0.261111  0.228758  0.27619   0.325     0.342857  0.235294  0.285714  0.274786  0.340741  0.238596  0.16       0.242857  0.25      0.306818  0.294017  0.253846  0.25098   0.307692  0.226879  0.266667  0.285714  0.258333  0.307692  0.339286  0.235839     0  0.25      0.27619   0.217647  0.27619   0.377778  0.25      0.266667  0.375     0.278846  0.4       0.26746   0.342857  0.296703  0.368132  0.222222   0.266667  0.225     0.27619   0.285714  0.242857     0  0.235294  0.285714     0     0  0.242857
like      0.115132  0.190196  0.486111  0.266667  0.111111  0.418573  0.1       0.183333  0.19457   0.201923  0.315789  0.47619   0.21345   0.230937  0.152882  0.114379  0.170279  0.242647  0.210526  0.117647  0.194172  0.339869  0.260504  0.0714286  0.451923  0.105263  0.12406   0.208987  0.139423  0.21345   0.125     0.142827  0.111111  0.25      0.343137  0.125     0.336601  0.174074     0  0.105263  0.180556  0.234818  0.352941  0.180952  0.222222  0.235294  0.222222  0.115132  0.235294  0.277505  0.242647  0.258333  0.121324  0.0952381  0.173203  0.129555  0.305147  0.117647  0.201923     0  0.1       0.117647     0     0  0.135747
day       0.162338  0.377778  0.412587  0.4       0.153846  0.274281  0.133333  0.266667  0.291667  0.397727  0.285714  0.285714  0.21978   0.376068  0.276786  0.160256  0.238095  0.348485  0.285714  0.166667  0.325563  0.333333  0.291667  0.0869565  0.306818  0.142857  0.18254   0.305051  0.215909  0.21978   0.181818  0.242468  0.153846  0.363636  0.320513  0.181818  0.237179  0.287179     0  0.142857  0.258741  0.267857  0.25      0.2625    0.307692  0.5       0.307692  0.162338  0.333333  0.390443  0.439394  0.772727  0.174242  0.125      0.326923  0.196429  0.431818  0.166667  0.306818     0  0.133333  0.166667     0     0  0.208333
tree      0.473684  0.211765  0.118056  0.25      0.666667  0.286779  0.2       0.327536  0.135747  0.139423  0.105263  0.105263  0.338346  0.115468  0.243108  0.522222  0.26935   0.121324  0.105263  0.470588  0.286779  0.155882  0.106443  0.428571   0.139423  0.210526  0.424812  0.294186  0.392713  0.274854  0.631579  0.261477  0.444444  0.125     0.114379  0.25      0.173203  0.203704     0  0.421053  0.229167  0.129555  0.358824  0.315476  0.111111  0.117647  0.111111  0.407895  0.117647  0.117919  0.121324  0.129167  0.367647  0.761905   0.281046  0.34965   0.121324  0.6       0.139423     0  0.521739  0.6          0     0  0.376923
play      0.139423  0.229692  0.287179  0.333333  0.133333  0.235409  0.117647  0.308824  0.242857  0.253846  0.25      0.25      0.191667  0.51746   0.180556  0.138095  0.205357  0.373626  0.25      0.142857  0.235409  0.284781  0.325397  0.08       0.253846  0.125     0.153409  0.257631  0.176923  0.191667  0.153846  0.173856  0.133333  0.307692  0.27619   0.153846  0.204762  0.206536     0  0.125     0.297436  0.225     0.214286  0.222222  0.266667  0.285714  0.266667  0.139423  0.285714  0.286691  0.296703  0.320513  0.148352  0.111111   0.209524  0.1625    0.296703  0.142857  0.253846     0  0.117647  0.142857     0     0  0.171429
garden    0.676471  0.188596  0.12549   0.266667  0.352941  0.198529  0.210526  0.214286  0.145833  0.15      0.111111  0.111111  0.21345   0.122549  0.205556  0.343137  0.229167  0.129167  0.111111  0.375     0.198529  0.165643  0.1125    0.222222   0.15      0.222222  0.397436  0.206933  0.259804  0.232026  0.352941  0.225026  0.352941  0.133333  0.121324  0.266667  0.183824  0.179567     0  0.333333  0.301961  0.138889  0.229167  0.283333  0.117647  0.125     0.117647  0.533333  0.125     0.125327  0.129167  0.138095  0.325     0.3        0.238971  0.233333  0.129167  0.333333  0.15         0  0.285714  0.333333     0     0  0.25
bed       0.368421  0.411765  0.118056  0.25      0.444444  0.216604  0.2       0.24058   0.135747  0.139423  0.105263  0.105263  0.243108  0.115468  0.338346  0.477778  0.321981  0.121324  0.105263  0.705882  0.216604  0.155882  0.106443  0.285714   0.139423  0.210526  0.477444  0.224011  0.287449  0.274854  0.421053  0.459096  0.444444  0.125     0.114379  0.25      0.173203  0.27037      0  0.526316  0.229167  0.129555  0.258824  0.410714  0.111111  0.117647  0.111111  0.470395  0.117647  0.117919  0.121324  0.129167  0.367647  0.380952   0.281046  0.258741  0.121324  0.4       0.139423     0  0.347826  0.4          0     0  0.276923
